id,section,concept,action,characters,location,required_motion_channels,notes
S01,Intro,Outside fishbowl master,Slow push toward glass; waterline and reflections move; nurses visible in depth,all silhouettes,outside master,"camera,refraction,bubbles,character micro-motion",Establish LEFT residential / RIGHT detox
S02,Intro,Camera passes through aquarium glass,Continuous refractive transition into station,"betta,orca",outside + station,"camera,glass refraction,particles,hair/tails",No cut disguised as glass pass
S03,Intro,Pulse ox search gag,Pulse ox drifts past behind nurse while she searches,puffer,center,"arm/head rig,pulse-ox prop,bubbles,caustics",Fast visual joke
S04,Verse 1,Come get your vitals performance,"Betta leads, cuff inflates rhythmically, waveform typography pulses",betta,center,"lip/head/body,cuff,typography,camera",Hero performance
S05,Verse 1,Medication negotiation at window,Client-fish silhouettes gather outside glass; nurse checks coded MAR,orca,detox window,"orca rig,client silhouettes,UI,bubbles",No real patient data
S06,Verse 1,Provider said...,Nurse deadpan turns to camera; phone/radio indicates she already checked,orca,center,"face/head,radio,background traffic",Hold punchline half-beat
S07,Verse 1,Chest tight / constipation,"Two quick visual metaphors, no graphic imagery","clown,puffer",detox,"character acting,props,camera,particles",Keep slapstick
S08,Verse 1,Don't miss group,Client-fish points toward group room while hovering at med window,clown,center/res,"character rig,signage,door activity,bubbles",Typeset group sign
S09,Verse 1,Pulse ox missing,Object floats directly behind staff in a loop,"puffer,betta",center,"prop path,eye darts,hair,caustics",Recurring gag
S10,Verse 1,They think they nurses,Rapid mock-diagnostic tableau with harmless generic icons,ensemble,residential,"ensemble acting,UI icons,camera",No real diagnosis
S11,Pre-Chorus,MAR / door / radio multitask,Three-direction choreography builds pressure,"betta,puffer",center,"arms/head,radio,papers,camera",Puffer begins inflating
S12,Pre-Chorus,INTAKE'S HERE,Micro-freeze then explosive environmental reaction,ensemble,center,"puffer morph,lights,papers,bubbles,camera",Signature gag
S13,Chorus,Come Get Your Vitals ensemble,Orbiting wide choreography through central station,ensemble,center,"character rigs,camera,bubbles,caustics,props",Big anthem
S14,Chorus,Can't prescribe willingness,Camera looks through glass at hesitant client silhouette,rainbow,residential window,"face/hand,tiny client motion,light,particles",Humanize moment
S15,Chorus,Code Blue tucked behind smart mouth,Orca snaps into emergency-ready pose; red-blue waveform graphic,orca,detox,"body rig,medical bag,graphic,camera","Urgent, not graphic"
S16,Chorus,I CAN AND I WILL,Residential color blooms toward center; upward swimming movement,"rainbow,betta",center/res,"color/light,characters,camera,bubbles",First major hope burst
S17,Verse 2,Valium / muscle relaxers,Requests represented as floating generic word bubbles that nurse dismisses,tang,center,"hand/head,text,bubbles,camera",No pill glamour
S18,Verse 2,Crops were dusted,Everyone reacts to an offscreen odor with exaggerated fish-face comedy,ensemble,center,"faces,tails,particles,camera",No literal bodily-fluid visual
S19,Verse 2,Faking a seizure,Obvious slapstick fake-out followed by nurse deadpan,"orca,puffer",detox,"acting,camera,props",No realistic medical misinformation
S20,Verse 2,Bra catastrophe,Laundry/wardrobe item floats by like a dramatic emergency flag,clown,residential,"cloth prop,character acting,bubbles",Harmless visual
